promoter_file, motif, number_of_sites, jaspar_file_info, jaspar_info_percentage, e_val, distance, distance_percentage, failure_rate, success_rate, false_positive_rate, false_negative, promoter_size, number_of_sequences, model, markov_order, iterations, stdev(avg_eval), stdev(avg_score), stdev(avg_pscore), stdev(avg_frate), stdev(avg_srate), stdev(avg_fprate), stdev(avg_fn)
'/tmp/testmotif23224_300_15_5.fa', 'MEME-1', 15, 0.6751350662203579, 3700000.0, 636024.0000000062, 10.0800004, 0.439169328015873, 0.56, 0.44, 0.08, 'statistics.mean(avg_fn)', 300, 15, 'oops', 1, 5, 1322740.2779381864, 6.961585364460261, 0.25633026550138166, 0.38758511609996354, 0.38758511609996354, 0.029814239699997195, 'statistics.stdev(avg_fn)'
'/tmp/testmotif23224_300_15_5.fa', 'MEME-2', 15, 0.6751350662203579, 3700000.0, 1383600.0, 8.7066672, 0.4212121494949495, 0.8933333333333333, 0.10666666666666666, 0.08, 'statistics.mean(avg_fn)', 300, 15, 'oops', 1, 5, 2265489.969079537, 2.685909802820955, 0.1039784955678794, 0.23851391759997756, 0.23851391759997756, 0.029814239699997195, 'statistics.stdev(avg_fn)'
'/tmp/testmotif23224_300_15_5.fa', 'MEME-3', 15, 0.6751350662203579, 3700000.0, 26220000.0, 8.126666799999999, 0.4161952929292929, 0.9733333333333334, 0.026666666666666665, 0.09333333333333334, 'statistics.mean(avg_fn)', 300, 15, 'oops', 1, 5, 41218406.08271989, 0.8008329080836396, 0.03370754233577803, 0.059628479399994376, 0.05962847939999439, 0.03651483716701107, 'statistics.stdev(avg_fn)'
'/tmp/testmotif23224_300_15_5.fa', 'MEME-1', 9.8, 0.6751350662203579, 33000.0, 46295.4, 21.9944366, 0.683365596433725, 0.5413919413919414, 0.45860805860805864, 0.07619047619047618, 'statistics.mean(avg_fn)', 300, 15, 'anr', 0, 5, 77918.01120280214, 18.161364520942755, 0.23356185268386517, 0.3504840883560116, 0.35048408835601164, 0.10567781438653404, 'statistics.stdev(avg_fn)'
'/tmp/testmotif23224_300_15_5.fa', 'MEME-2', 6.8, 0.6751350662203579, 33000.0, 79400.0, 14.023491800000002, 0.43141364861471865, 0.8777777777777778, 0.12222222222222222, 0.10158730158730159, 'statistics.mean(avg_fn)', 300, 15, 'anr', 0, 5, 89147.6303667125, 5.359398409841699, 0.06444411359446625, 0.21659542988464364, 0.21659542988464364, 0.1409037525153787, 'statistics.stdev(avg_fn)'
'/tmp/testmotif23224_300_15_5.fa', 'MEME-3', 4.8, 0.6751350662203579, 33000.0, 186600.0, 18.473335199999998, 0.5042783616748768, 0.66, 0.34, 0.04, 'statistics.mean(avg_fn)', 300, 15, 'anr', 0, 5, 138556.12581188895, 7.349923914346406, 0.1650934550000888, 0.4219004621945797, 0.4219004621945797, 0.08944271909999159, 'statistics.stdev(avg_fn)'
'/tmp/testmotif23224_300_15_5.fa', 'MEME-1', 9.8, 0.6751350662203579, 190000.0, 679881.42, 7.8921578, 0.37424075293040293, 0.2879901960784314, 0.7120098039215687, 0.0, 'statistics.mean(avg_fn)', 300, 15, 'anr', 1, 5, 1465121.92613314, 4.867509815242718, 0.27158618610753427, 0.3405562066566239, 0.3405562066566239, 0.0, 'statistics.stdev(avg_fn)'
'/tmp/testmotif23224_300_15_5.fa', 'MEME-2', 7.4, 0.6751350662203579, 190000.0, 238000.0, 9.646666399999999, 0.3291217153069153, 0.8097222222222222, 0.19027777777777777, 0.052500000000000005, 'statistics.mean(avg_fn)', 300, 15, 'anr', 1, 5, 381394.15307526675, 5.924600692404914, 0.114746724565625, 0.3914720753801848, 0.3914720753801848, 0.08678277478854891, 'statistics.stdev(avg_fn)'
'/tmp/testmotif23224_300_15_5.fa', 'MEME-3', 3.8, 0.6751350662203579, 190000.0, 974600.0, 16.980000800000003, 0.39500803567608866, 0.9666666666666667, 0.03333333333333333, 0.1, 'statistics.mean(avg_fn)', 300, 15, 'anr', 1, 5, 1751109.8766211104, 14.384263145535236, 0.1228613817275353, 0.07453559924999298, 0.07453559924999299, 0.223606797749979, 'statistics.stdev(avg_fn)'
'/tmp/testmotif23224_300_20_5.fa', 'MEME-1', 19.4, 0.6751350662203579, 260000.0, 5380.00646032, 10.988303799999999, 0.4938540367521367, 0.44228070175438594, 0.5577192982456141, 0.10380116959064327, 'statistics.mean(avg_fn)', 300, 20, 'zoops', 0, 5, 10998.723249035977, 4.606165794162017, 0.24760605303658711, 0.43953688658533424, 0.43953688658533424, 0.08047206486237309, 'statistics.stdev(avg_fn)'
